Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A GA(TS) Hybrid Algorithm for Scheduling in Computational Grids,Hybrid Artificial Intelligence Systems,,,,10.1007/978-3-642-02319-4_34,Fatos XhafaJuan A. GonzalezKeshav P. DahalAjith Abraham,2009,https://link.springer.com/chapter/10.1007/978-3-642-02319-4_34,Conference paper
An Effective Hybrid Algorithm for the Circles and Spheres Packing Problems,Combinatorial Optimization and Applications,,,,10.1007/978-3-642-02026-1_12,Jingfa LiuYonglei YaoYu ZhengHuantong GengGuocheng Zhou,2009,https://link.springer.com/chapter/10.1007/978-3-642-02026-1_12,Conference paper
A Hybrid Algorithm for Computing Tours in a Spare Parts Warehouse,Evolutionary Computation in Combinatorial Optimization,,,,10.1007/978-3-642-01009-5_3,Matthias PrandtstetterGünther R. RaidlThomas Misar,2009,https://link.springer.com/chapter/10.1007/978-3-642-01009-5_3,Conference paper
An Effective Hybrid Algorithm Based on Simplex Search and Differential Evolution for Global Optimization,Emerging Intelligent Computing Technology and Applications. With Aspects of Artificial Intelligence,,,,10.1007/978-3-642-04020-7_36,Ye XuLing WangLingpo Li,2009,https://link.springer.com/chapter/10.1007/978-3-642-04020-7_36,Conference paper
A Hybrid Algorithm of GA Wavelet-BP Neural Networks to Predict Near Space Solar Radiation,Advances in Neural Networks – ISNN 2009,,,,10.1007/978-3-642-01510-6_51,Jianmin SuBifeng SongBaofeng Li,2009,https://link.springer.com/chapter/10.1007/978-3-642-01510-6_51,Conference paper
An Artificial Immune Univariate Marginal Distribution Algorithm,Computational Intelligence and Intelligent Systems,,,,10.1007/978-3-642-04962-0_8,Qingbin ZhangShuo KangJunxiang GaoSong WuYanping Tian,2009,https://link.springer.com/chapter/10.1007/978-3-642-04962-0_8,Conference paper
The Arrow Calculus as a Quantum Programming Language,"Logic, Language, Information and Computation",,,,10.1007/978-3-642-02261-6_30,Juliana Kaizer VizzottoAndré Rauber Du BoisAmr Sabry,2009,https://link.springer.com/chapter/10.1007/978-3-642-02261-6_30,Conference paper
Active Portfolio Management under a Downside Risk Framework: Comparison of a Hybrid Nature – Inspired Scheme,Hybrid Artificial Intelligence Systems,,,,10.1007/978-3-642-02319-4_85,Vassilios VassiliadisNikolaos ThomaidisGeorge Dounias,2009,https://link.springer.com/chapter/10.1007/978-3-642-02319-4_85,Conference paper
Efficient Public Key Encryption Based on Ideal Lattices,Advances in Cryptology – ASIACRYPT 2009,,,,10.1007/978-3-642-10366-7_36,Damien StehléRon SteinfeldKeisuke TanakaKeita Xagawa,2009,https://link.springer.com/chapter/10.1007/978-3-642-10366-7_36,Conference paper
ISeller: A Flexible Personalization Infrastructure for e-Commerce Applications,E-Commerce and Web Technologies,,,,10.1007/978-3-642-03964-5_31,Markus JessenitschnigMarkus Zanker,2009,https://link.springer.com/chapter/10.1007/978-3-642-03964-5_31,Conference paper
Hybrid Unsupervised Learning to Uncover Discourse Structure,Human Language Technology. Challenges of the Information Society,,,,10.1007/978-3-642-04235-5_22,Catherine RecanatiNicoleta RogovskiYounès Bennani,2009,https://link.springer.com/chapter/10.1007/978-3-642-04235-5_22,Conference paper
Quantum Algorithms to Solve the Hidden Shift Problem for Quadratics and for Functions of Large Gowers Norm,Mathematical Foundations of Computer Science 2009,,,,10.1007/978-3-642-03816-7_56,Martin Rötteler,2009,https://link.springer.com/chapter/10.1007/978-3-642-03816-7_56,Conference paper
Intra-retinal Layer Segmentation in Optical Coherence Tomography Using an Active Contour Approach,Medical Image Computing and Computer-Assisted Intervention – MICCAI 2009,,,,10.1007/978-3-642-04271-3_79,Azadeh YazdanpanahGhassan HamarnehBenjamin SmithMarinko Sarunic,2009,https://link.springer.com/chapter/10.1007/978-3-642-04271-3_79,Conference paper
Study on Minimum Zone Evaluation of Flatness Errors Based on a Hybrid Chaos Optimization Algorithm,Emerging Intelligent Computing Technology and Applications,,,,10.1007/978-3-642-04070-2_22,Ke Zhang,2009,https://link.springer.com/chapter/10.1007/978-3-642-04070-2_22,Conference paper
Application of AIS Based Classification Algorithms to Detect Overloaded Areas in Power System Networks,Artificial Immune Systems,,,,10.1007/978-3-642-03246-2_18,N. C. WoolleyJ. V. Milanović,2009,https://link.springer.com/chapter/10.1007/978-3-642-03246-2_18,Conference paper
A Novel Hybrid Particle Swarm Optimization for Multi-Objective Problems,Artificial Intelligence and Computational Intelligence,,,,10.1007/978-3-642-05253-8_4,Siwei JiangZhihua Cai,2009,https://link.springer.com/chapter/10.1007/978-3-642-05253-8_4,Conference paper
A Hybrid Ant Colony Algorithm for the Grain Distribution Centers Location,Emerging Intelligent Computing Technology and Applications,,,,10.1007/978-3-642-04070-2_13,Le XiaoQiuwen Zhang,2009,https://link.springer.com/chapter/10.1007/978-3-642-04070-2_13,Conference paper
Solving SAT Problem Based on Hybrid Differential Evolution Algorithm,Computational Intelligence and Intelligent Systems,,,,10.1007/978-3-642-04962-0_28,Kunqi LiuJingmin ZhangGang LiuLishan Kang,2009,https://link.springer.com/chapter/10.1007/978-3-642-04962-0_28,Conference paper
HAVE: Detecting Atomicity Violations via Integrated Dynamic and Static Analysis,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-642-00593-0_30,Qichang ChenLiqiang WangZijiang YangScott D. Stoller,2009,https://link.springer.com/chapter/10.1007/978-3-642-00593-0_30,Conference paper
Motion Planning and Synthesis of Human-Like Characters in Constrained Environments,Motion in Games,,,,10.1007/978-3-642-10347-6_13,Liangjun ZhangJia PanDinesh Manocha,2009,https://link.springer.com/chapter/10.1007/978-3-642-10347-6_13,Conference paper
A Hybrid Extremal Optimisation Approach for the Bin Packing Problem,Artificial Life: Borrowing from Biology,,,,10.1007/978-3-642-10427-5_24,Pedro Gómez-MenesesMarcus Randall,2009,https://link.springer.com/chapter/10.1007/978-3-642-10427-5_24,Conference paper
Quantum Circuit Synthesis with Adaptive Parameters Control,Genetic Programming,,,,10.1007/978-3-642-01181-8_29,Cristian RuicanMihai UdrescuLucian ProdanMircea Vladutiu,2009,https://link.springer.com/chapter/10.1007/978-3-642-01181-8_29,Conference paper
Hybrid Hierarchical Classifiers for Hyperspectral Data Analysis,Multiple Classifier Systems,,,,10.1007/978-3-642-02326-2_5,Goo JunJoydeep Ghosh,2009,https://link.springer.com/chapter/10.1007/978-3-642-02326-2_5,Conference paper
Hyperheuristics for a Dynamic-Mapped Multi-Objective Island-Based Model,"Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living",,,,10.1007/978-3-642-02481-8_7,Coromoto LeónGara MirandaCarlos Segura,2009,https://link.springer.com/chapter/10.1007/978-3-642-02481-8_7,Conference paper
Unsupervised Color Image Segmentation Using Compound Markov Random Field Model,Pattern Recognition and Machine Intelligence,,,,10.1007/978-3-642-11164-8_47,Sucheta PandaP. K. Nanda,2009,https://link.springer.com/chapter/10.1007/978-3-642-11164-8_47,Conference paper
Experimental Study of Non-oblivious Greedy and Randomized Rounding Algorithms for Hypergraph b-Matching,Experimental Algorithms,,,,10.1007/978-3-642-02011-7_18,Lasse KliemannAnand Srivastav,2009,https://link.springer.com/chapter/10.1007/978-3-642-02011-7_18,Conference paper
Context Dependent Movie Recommendations Using a Hierarchical Bayesian Model,Advances in Artificial Intelligence,,,,10.1007/978-3-642-01818-3_12,Daniel PomerantzGregory Dudek,2009,https://link.springer.com/chapter/10.1007/978-3-642-01818-3_12,Conference paper
Sales Forecasting Using an Evolutionary Algorithm Based Radial Basis Function Neural Network,"Information Systems: Modeling, Development, and Integration",,,,10.1007/978-3-642-01112-2_8,R. J. KuoTung-Lai HuZhen-Yao Chen,2009,https://link.springer.com/chapter/10.1007/978-3-642-01112-2_8,Conference paper
Constraint-Based Timetabling System for the German University in Cairo,Applications of Declarative Programming and Knowledge Management,,,,10.1007/978-3-642-00675-3_5,Slim AbdennadherMohamed AlyMarlien Edward,2009,https://link.springer.com/chapter/10.1007/978-3-642-00675-3_5,Conference paper
Quantum-Secure Coin-Flipping and Applications,Advances in Cryptology – ASIACRYPT 2009,,,,10.1007/978-3-642-10366-7_4,Ivan DamgårdCarolin Lunemann,2009,https://link.springer.com/chapter/10.1007/978-3-642-10366-7_4,Conference paper
The Complexity of Satisfiability of Small Depth Circuits,Parameterized and Exact Computation,,,,10.1007/978-3-642-11269-0_6,Chris CalabroRussell ImpagliazzoRamamohan Paturi,2009,https://link.springer.com/chapter/10.1007/978-3-642-11269-0_6,Conference paper
Hybridizing Beam-ACO with Constraint Programming for Single Machine Job Scheduling,Hybrid Metaheuristics,,,,10.1007/978-3-642-04918-7_3,Dhananjay ThiruvadyChristian BlumBernd MeyerAndreas Ernst,2009,https://link.springer.com/chapter/10.1007/978-3-642-04918-7_3,Conference paper
The Convergence Control to the ACO Metaheuristic Using Annotated Paraconsistent Logic,Advances in Computation and Intelligence,,,,10.1007/978-3-642-04843-2_41,Luiz Eduardo da SilvaHelga Gonzaga MartinsMaurilio Pereira CoutinhoGermano Lambert-TorresLuiz Eduardo Borges da Silva,2009,https://link.springer.com/chapter/10.1007/978-3-642-04843-2_41,Conference paper
