Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Revocable Quantum Timed-Release Encryption,Advances in Cryptology – EUROCRYPT 2014,,,,10.1007/978-3-642-55220-5_8,Dominique Unruh,2014,https://link.springer.com/chapter/10.1007/978-3-642-55220-5_8,Conference paper
Quantum Position Verification in the Random Oracle Model,Advances in Cryptology – CRYPTO 2014,,,,10.1007/978-3-662-44381-1_1,Dominique Unruh,2014,https://link.springer.com/chapter/10.1007/978-3-662-44381-1_1,Conference paper
Optimizing QoS-Based Web Services Composition by Using Quantum Inspired Cuckoo Search Algorithm,Mobile Web Information Systems,,,,10.1007/978-3-319-10359-4_4,Serial Rayene BoussaliaAllaoua Chaoui,2014,https://link.springer.com/chapter/10.1007/978-3-319-10359-4_4,Conference paper
Effective Parallelization of Quantum Simulations: Nanomagnetic Molecular Rings,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-642-55195-6_39,Piotr KozłowskiGrzegorz MusiałMichał AntkowiakDante Gatteschi,2014,https://link.springer.com/chapter/10.1007/978-3-642-55195-6_39,Conference paper
A New Technology for MIMO Detection: The μ Quantum Genetic Sphere Decoding Algorithm,Advanced Computer Architecture,,,,10.1007/978-3-662-44491-7_18,Jian ZhaoHengzhu LiuXucan ChenTing Chen,2014,https://link.springer.com/chapter/10.1007/978-3-662-44491-7_18,Conference paper
On the Implementation of Three Popular Computational Chemistry Applications Using the EGI Distributed Computing Infrastructure,Computational Science and Its Applications – ICCSA 2014,,,,10.1007/978-3-319-09144-0_41,Alessandro CostantiniDaniele CesiniDiego MichelottoMarco BencivenniVania BocciaEmidio GiorgioAntonio Laganà,2014,https://link.springer.com/chapter/10.1007/978-3-319-09144-0_41,Conference paper
Grid Calculation Tools for Massive Applications of Collision Dynamics Simulations: Carbon Dioxide Energy Transfer,Computational Science and Its Applications – ICCSA 2014,,,,10.1007/978-3-319-09144-0_43,Andrea LombardiNoelia Faginas-LagoAntonio Laganà,2014,https://link.springer.com/chapter/10.1007/978-3-319-09144-0_43,Conference paper
A Grid Empowered Virtual Versus Real Experiment for the Barrierless Li + FH → LiF + H Reaction,Computational Science and Its Applications – ICCSA 2014,,,,10.1007/978-3-319-09144-0_39,Antonio LaganàSergio Rampino,2014,https://link.springer.com/chapter/10.1007/978-3-319-09144-0_39,Conference paper
Towards a Key Consuming Detection in QKD-VoIP Systems,"Availability, Reliability, and Security in Information Systems",,,,10.1007/978-3-319-10975-6_22,Guohong ZhaoWanrong YuBaokang ZhaoChunqing Wu,2014,https://link.springer.com/chapter/10.1007/978-3-319-10975-6_22,Conference paper
Tagging Scientific Publications Using Wikipedia and Natural Language Processing Tools,Theory and Practice of Digital Libraries -- TPDL 2013 Selected Workshops,,,,10.1007/978-3-319-08425-1_3,Michał ŁopuszyńskiŁukasz Bolikowski,2014,https://link.springer.com/chapter/10.1007/978-3-319-08425-1_3,Conference paper
